Date,RATE A,RATE B,RATE C,Load
02/01/2023 04.30,0.0,252.0,0.0,252.0
02/01/2023 04.45,0.0,252.0,0.0,252.0
02/01/2023 05.00,0.0,254.0,0.0,254.0
02/01/2023 05.15,0.0,254.0,0.0,254.0
02/01/2023 05.30,0.0,252.0,0.0,252.0
02/01/2023 05.45,0.0,254.0,0.0,254.0
02/01/2023 06.00,0.0,310.0,0.0,310.0
02/01/2023 06.15,0.0,314.0,0.0,314.0
02/01/2023 06.30,0.0,316.0,0.0,316.0
02/01/2023 06.45,0.0,268.0,0.0,268.0
02/01/2023 07.00,0.0,254.0,0.0,254.0
02/01/2023 07.15,0.0,254.0,0.0,254.0
02/01/2023 07.30,0.0,254.0,0.0,254.0
02/01/2023 07.45,0.0,254.0,0.0,254.0
02/01/2023 08.00,0.0,254.0,0.0,254.0
02/01/2023 08.15,0.0,254.0,0.0,254.0
02/01/2023 08.30,0.0,254.0,0.0,254.0
02/01/2023 08.45,0.0,432.0,0.0,432.0
02/01/2023 09.00,442.0,0.0,0.0,442.0
02/01/2023 09.15,440.0,0.0,0.0,440.0
02/01/2023 09.30,440.0,0.0,0.0,440.0
02/01/2023 09.45,440.0,0.0,0.0,440.0
02/01/2023 10.00,440.0,0.0,0.0,440.0
02/01/2023 10.15,440.0,0.0,0.0,440.0
02/01/2023 10.30,440.0,0.0,0.0,440.0
02/01/2023 10.45,440.0,0.0,0.0,440.0
02/01/2023 11.00,440.0,0.0,0.0,440.0
02/01/2023 11.15,440.0,0.0,0.0,440.0
02/01/2023 11.30,406.0,0.0,0.0,406.0
02/01/2023 11.45,254.0,0.0,0.0,254.0
02/01/2023 12.00,254.0,0.0,0.0,254.0
02/01/2023 12.15,254.0,0.0,0.0,254.0
02/01/2023 12.30,254.0,0.0,0.0,254.0
02/01/2023 12.45,254.0,0.0,0.0,254.0
02/01/2023 13.00,254.0,0.0,0.0,254.0
02/01/2023 13.15,254.0,0.0,0.0,254.0
02/01/2023 13.30,254.0,0.0,0.0,254.0
02/01/2023 13.45,254.0,0.0,0.0,254.0
02/01/2023 14.00,254.0,0.0,0.0,254.0
02/01/2023 14.15,254.0,0.0,0.0,254.0
02/01/2023 14.30,254.0,0.0,0.0,254.0
02/01/2023 14.45,254.0,0.0,0.0,254.0
02/01/2023 15.00,252.0,0.0,0.0,252.0
02/01/2023 15.15,254.0,0.0,0.0,254.0
02/01/2023 15.30,254.0,0.0,0.0,254.0
02/01/2023 15.45,252.0,0.0,0.0,252.0
02/01/2023 16.00,254.0,0.0,0.0,254.0
02/01/2023 16.15,254.0,0.0,0.0,254.0
02/01/2023 16.30,316.0,0.0,0.0,316.0
02/01/2023 16.45,364.0,0.0,0.0,364.0
02/01/2023 17.00,342.0,0.0,0.0,342.0
02/01/2023 17.15,334.0,0.0,0.0,334.0
02/01/2023 17.30,334.0,0.0,0.0,334.0
02/01/2023 17.45,334.0,0.0,0.0,334.0
02/01/2023 18.00,334.0,0.0,0.0,334.0
02/01/2023 18.15,334.0,0.0,0.0,334.0
02/01/2023 18.30,266.0,0.0,0.0,266.0
02/01/2023 18.45,254.0,0.0,0.0,254.0
02/01/2023 19.00,222.0,0.0,0.0,222.0
02/01/2023 19.15,174.0,0.0,0.0,174.0
02/01/2023 19.30,174.0,0.0,0.0,174.0
02/01/2023 19.45,174.0,0.0,0.0,174.0
02/01/2023 20.00,174.0,0.0,0.0,174.0
02/01/2023 20.15,174.0,0.0,0.0,174.0
02/01/2023 20.30,174.0,0.0,0.0,174.0
02/01/2023 20.45,174.0,0.0,0.0,174.0
02/01/2023 21.00,174.0,0.0,0.0,174.0
02/01/2023 21.15,174.0,0.0,0.0,174.0
02/01/2023 21.30,174.0,0.0,0.0,174.0
02/01/2023 21.45,174.0,0.0,0.0,174.0
02/01/2023 22.00,0.0,174.0,0.0,174.0
02/01/2023 22.15,0.0,174.0,0.0,174.0
02/01/2023 22.30,0.0,174.0,0.0,174.0
02/01/2023 22.45,0.0,174.0,0.0,174.0
02/01/2023 23.00,0.0,214.0,0.0,214.0
02/01/2023 23.15,0.0,254.0,0.0,254.0
02/01/2023 23.30,0.0,254.0,0.0,254.0
02/01/2023 23.45,0.0,254.0,0.0,254.0
03/01/2023 00.00,0.0,254.0,0.0,254.0
03/01/2023 00.15,0.0,254.0,0.0,254.0
03/01/2023 00.30,0.0,254.0,0.0,254.0
03/01/2023 00.45,0.0,254.0,0.0,254.0
03/01/2023 01.00,0.0,254.0,0.0,254.0
03/01/2023 01.15,0.0,252.0,0.0,252.0
03/01/2023 01.30,0.0,254.0,0.0,254.0
03/01/2023 01.45,0.0,252.0,0.0,252.0
03/01/2023 02.00,0.0,252.0,0.0,252.0
03/01/2023 02.15,0.0,254.0,0.0,254.0
03/01/2023 02.30,0.0,254.0,0.0,254.0
03/01/2023 02.45,0.0,254.0,0.0,254.0
03/01/2023 03.00,0.0,254.0,0.0,254.0
03/01/2023 03.15,0.0,252.0,0.0,252.0
03/01/2023 03.30,0.0,254.0,0.0,254.0
03/01/2023 03.45,0.0,230.0,0.0,230.0
03/01/2023 04.00,0.0,172.0,0.0,172.0
03/01/2023 04.15,0.0,172.0,0.0,172.0
03/01/2023 04.30,0.0,174.0,0.0,174.0
03/01/2023 04.45,0.0,226.0,0.0,226.0
03/01/2023 05.00,0.0,200.0,0.0,200.0
03/01/2023 05.15,0.0,252.0,0.0,252.0
03/01/2023 05.30,0.0,252.0,0.0,252.0
03/01/2023 05.45,0.0,252.0,0.0,252.0
03/01/2023 06.00,0.0,430.0,0.0,430.0
03/01/2023 06.15,0.0,438.0,0.0,438.0
03/01/2023 06.30,0.0,440.0,0.0,440.0
03/01/2023 06.45,0.0,440.0,0.0,440.0
03/01/2023 07.00,0.0,440.0,0.0,440.0
03/01/2023 07.15,0.0,440.0,0.0,440.0
03/01/2023 07.30,0.0,438.0,0.0,438.0
03/01/2023 07.45,0.0,436.0,0.0,436.0
03/01/2023 08.00,0.0,436.0,0.0,436.0
03/01/2023 08.15,0.0,436.0,0.0,436.0
03/01/2023 08.30,0.0,426.0,0.0,426.0
03/01/2023 08.45,0.0,252.0,0.0,252.0
03/01/2023 09.00,250.0,0.0,0.0,250.0
03/01/2023 09.15,250.0,0.0,0.0,250.0
03/01/2023 09.30,250.0,0.0,0.0,250.0
03/01/2023 09.45,252.0,0.0,0.0,252.0
03/01/2023 10.00,250.0,0.0,0.0,250.0
03/01/2023 10.15,252.0,0.0,0.0,252.0
03/01/2023 10.30,252.0,0.0,0.0,252.0
03/01/2023 10.45,252.0,0.0,0.0,252.0
03/01/2023 11.00,252.0,0.0,0.0,252.0
03/01/2023 11.15,252.0,0.0,0.0,252.0
03/01/2023 11.30,252.0,0.0,0.0,252.0
03/01/2023 11.45,252.0,0.0,0.0,252.0
03/01/2023 12.00,250.0,0.0,0.0,250.0
03/01/2023 12.15,172.0,0.0,0.0,172.0
03/01/2023 12.30,172.0,0.0,0.0,172.0
03/01/2023 12.45,172.0,0.0,0.0,172.0
03/01/2023 13.00,172.0,0.0,0.0,172.0
03/01/2023 13.15,170.0,0.0,0.0,170.0
03/01/2023 13.30,172.0,0.0,0.0,172.0
03/01/2023 13.45,172.0,0.0,0.0,172.0
03/01/2023 14.00,172.0,0.0,0.0,172.0
03/01/2023 14.15,172.0,0.0,0.0,172.0
03/01/2023 14.30,172.0,0.0,0.0,172.0
03/01/2023 14.45,172.0,0.0,0.0,172.0
03/01/2023 15.00,172.0,0.0,0.0,172.0
03/01/2023 15.15,174.0,0.0,0.0,174.0
03/01/2023 15.30,232.0,0.0,0.0,232.0
03/01/2023 15.45,232.0,0.0,0.0,232.0
03/01/2023 16.00,234.0,0.0,0.0,234.0
03/01/2023 16.15,254.0,0.0,0.0,254.0
03/01/2023 16.30,254.0,0.0,0.0,254.0
03/01/2023 16.45,254.0,0.0,0.0,254.0
03/01/2023 17.00,254.0,0.0,0.0,254.0
03/01/2023 17.15,254.0,0.0,0.0,254.0
03/01/2023 17.30,254.0,0.0,0.0,254.0
03/01/2023 17.45,254.0,0.0,0.0,254.0
03/01/2023 18.00,254.0,0.0,0.0,254.0
03/01/2023 18.15,272.0,0.0,0.0,272.0
03/01/2023 18.30,442.0,0.0,0.0,442.0
03/01/2023 18.45,440.0,0.0,0.0,440.0
03/01/2023 19.00,440.0,0.0,0.0,440.0
03/01/2023 19.15,442.0,0.0,0.0,442.0
03/01/2023 19.30,442.0,0.0,0.0,442.0
03/01/2023 19.45,442.0,0.0,0.0,442.0
03/01/2023 20.00,442.0,0.0,0.0,442.0
03/01/2023 20.15,442.0,0.0,0.0,442.0
03/01/2023 20.30,442.0,0.0,0.0,442.0
03/01/2023 20.45,442.0,0.0,0.0,442.0
03/01/2023 21.00,442.0,0.0,0.0,442.0
03/01/2023 21.15,358.0,0.0,0.0,358.0
03/01/2023 21.30,256.0,0.0,0.0,256.0
03/01/2023 21.45,254.0,0.0,0.0,254.0
03/01/2023 22.00,0.0,254.0,0.0,254.0
03/01/2023 22.15,0.0,254.0,0.0,254.0
03/01/2023 22.30,0.0,254.0,0.0,254.0
03/01/2023 22.45,0.0,254.0,0.0,254.0
03/01/2023 23.00,0.0,256.0,0.0,256.0
03/01/2023 23.15,0.0,254.0,0.0,254.0
03/01/2023 23.30,0.0,254.0,0.0,254.0
03/01/2023 23.45,0.0,254.0,0.0,254.0
04/01/2023 00.00,0.0,252.0,0.0,252.0
04/01/2023 00.15,0.0,254.0,0.0,254.0
04/01/2023 00.30,0.0,254.0,0.0,254.0
04/01/2023 00.45,0.0,254.0,0.0,254.0
04/01/2023 01.00,0.0,252.0,0.0,252.0
04/01/2023 01.15,0.0,252.0,0.0,252.0
04/01/2023 01.30,0.0,252.0,0.0,252.0
04/01/2023 01.45,0.0,252.0,0.0,252.0
04/01/2023 02.00,0.0,252.0,0.0,252.0
04/01/2023 02.15,0.0,248.0,0.0,248.0
04/01/2023 02.30,0.0,172.0,0.0,172.0
04/01/2023 02.45,0.0,172.0,0.0,172.0
04/01/2023 03.00,0.0,172.0,0.0,172.0
04/01/2023 03.15,0.0,172.0,0.0,172.0
04/01/2023 03.30,0.0,172.0,0.0,172.0
04/01/2023 03.45,0.0,172.0,0.0,172.0
04/01/2023 04.00,0.0,172.0,0.0,172.0
04/01/2023 04.15,0.0,172.0,0.0,172.0
04/01/2023 04.30,0.0,172.0,0.0,172.0
04/01/2023 04.45,0.0,172.0,0.0,172.0
04/01/2023 05.00,0.0,172.0,0.0,172.0
04/01/2023 05.15,0.0,172.0,0.0,172.0
04/01/2023 05.30,0.0,172.0,0.0,172.0
04/01/2023 05.45,0.0,190.0,0.0,190.0
04/01/2023 06.00,0.0,304.0,0.0,304.0
04/01/2023 06.15,0.0,314.0,0.0,314.0
04/01/2023 06.30,0.0,314.0,0.0,314.0
04/01/2023 06.45,0.0,258.0,0.0,258.0
04/01/2023 07.00,0.0,254.0,0.0,254.0
04/01/2023 07.15,0.0,254.0,0.0,254.0
04/01/2023 07.30,0.0,252.0,0.0,252.0
04/01/2023 07.45,0.0,252.0,0.0,252.0
04/01/2023 08.00,0.0,252.0,0.0,252.0
04/01/2023 08.15,0.0,254.0,0.0,254.0
04/01/2023 08.30,0.0,254.0,0.0,254.0
