timestamp,RATE A,RATE B,RATE C,load
2023-01-02 08:15:00,0.0,37.63,0.0,37.63
2023-01-02 08:30:00,0.0,39.38,0.0,39.38
2023-01-02 08:45:00,0.0,35.09,0.0,35.09
2023-01-02 09:00:00,31.72,0.0,0.0,31.72
2023-01-02 09:15:00,29.18,0.0,0.0,29.18
2023-01-02 09:30:00,25.08,0.0,0.0,25.08
2023-01-02 09:45:00,20.69,0.0,0.0,20.69
2023-01-02 10:00:00,16.81,0.0,0.0,16.81
2023-01-02 10:15:00,20.47,0.0,0.0,20.47
2023-01-02 10:30:00,15.9,0.0,0.0,15.9
2023-01-02 10:45:00,13.22,0.0,0.0,13.22
2023-01-02 11:00:00,18.11,0.0,0.0,18.11
2023-01-02 11:15:00,19.06,0.0,0.0,19.06
2023-01-02 11:30:00,27.61,0.0,0.0,27.61
2023-01-02 11:45:00,23.72,0.0,0.0,23.72
2023-01-02 12:00:00,22.31,0.0,0.0,22.31
2023-01-02 12:15:00,19.13,0.0,0.0,19.13
2023-01-02 12:30:00,21.37,0.0,0.0,21.37
2023-01-02 12:45:00,19.85,0.0,0.0,19.85
2023-01-02 13:00:00,20.45,0.0,0.0,20.45
2023-01-02 13:15:00,19.48,0.0,0.0,19.48
2023-01-02 13:30:00,23.21,0.0,0.0,23.21
2023-01-02 13:45:00,25.76,0.0,0.0,25.76
2023-01-02 14:00:00,29.69,0.0,0.0,29.69
2023-01-02 14:15:00,34.77,0.0,0.0,34.77
2023-01-02 14:30:00,24.92,0.0,0.0,24.92
2023-01-02 14:45:00,25.05,0.0,0.0,25.05
2023-01-02 15:00:00,35.76,0.0,0.0,35.76
2023-01-02 15:15:00,39.29,0.0,0.0,39.29
2023-01-02 15:30:00,39.19,0.0,0.0,39.19
2023-01-02 15:45:00,39.97,0.0,0.0,39.97
2023-01-02 16:00:00,43.69,0.0,0.0,43.69
2023-01-02 16:15:00,41.95,0.0,0.0,41.95
2023-01-02 16:30:00,42.59,0.0,0.0,42.59
2023-01-02 16:45:00,48.92,0.0,0.0,48.92
2023-01-02 17:00:00,56.67,0.0,0.0,56.67
2023-01-02 17:15:00,55.85,0.0,0.0,55.85
2023-01-02 17:30:00,57.72,0.0,0.0,57.72
2023-01-02 17:45:00,64.29,0.0,0.0,64.29
2023-01-02 18:00:00,76.67,0.0,0.0,76.67
2023-01-02 18:15:00,82.46,0.0,0.0,82.46
2023-01-02 18:30:00,82.35,0.0,0.0,82.35
2023-01-02 18:45:00,83.83,0.0,0.0,83.83
2023-01-02 19:00:00,86.16,0.0,0.0,86.16
2023-01-02 19:15:00,83.16,0.0,0.0,83.16
2023-01-02 19:30:00,82.48,0.0,0.0,82.48
2023-01-02 19:45:00,78.14,0.0,0.0,78.14
2023-01-02 20:00:00,78.83,0.0,0.0,78.83
2023-01-02 20:15:00,77.38,0.0,0.0,77.38
2023-01-02 20:30:00,75.43,0.0,0.0,75.43
2023-01-02 20:45:00,77.59,0.0,0.0,77.59
2023-01-02 21:00:00,78.95,0.0,0.0,78.95
2023-01-02 21:15:00,78.91,0.0,0.0,78.91
2023-01-02 21:30:00,76.85,0.0,0.0,76.85
2023-01-02 21:45:00,74.88,0.0,0.0,74.88
2023-01-02 22:00:00,0.0,73.56,0.0,73.56
2023-01-02 22:15:00,0.0,74.88,0.0,74.88
2023-01-02 22:30:00,0.0,72.25,0.0,72.25
2023-01-02 22:45:00,0.0,68.0,0.0,68.0
2023-01-02 23:00:00,0.0,65.66,0.0,65.66
2023-01-02 23:15:00,0.0,70.22,0.0,70.22
2023-01-02 23:30:00,0.0,67.12,0.0,67.12
2023-01-02 23:45:00,0.0,66.83,0.0,66.83
2023-01-03 00:00:00,0.0,66.22,0.0,66.22
2023-01-03 00:15:00,0.0,65.71,0.0,65.71
2023-01-03 00:30:00,0.0,67.37,0.0,67.37
2023-01-03 00:45:00,0.0,64.29,0.0,64.29
2023-01-03 01:00:00,0.0,63.5,0.0,63.5
2023-01-03 01:15:00,0.0,63.22,0.0,63.22
2023-01-03 01:30:00,0.0,64.85,0.0,64.85
2023-01-03 01:45:00,0.0,63.24,0.0,63.24
2023-01-03 02:00:00,0.0,62.93,0.0,62.93
2023-01-03 02:15:00,0.0,61.11,0.0,61.11
2023-01-03 02:30:00,0.0,63.45,0.0,63.45
2023-01-03 02:45:00,0.0,63.82,0.0,63.82
2023-01-03 03:00:00,0.0,62.33,0.0,62.33
2023-01-03 03:15:00,0.0,62.25,0.0,62.25
2023-01-03 03:30:00,0.0,61.08,0.0,61.08
2023-01-03 03:45:00,0.0,63.95,0.0,63.95
2023-01-03 04:00:00,0.0,61.95,0.0,61.95
2023-01-03 04:15:00,0.0,62.04,0.0,62.04
2023-01-03 04:30:00,0.0,60.16,0.0,60.16
2023-01-03 04:45:00,0.0,64.03,0.0,64.03
2023-01-03 05:00:00,0.0,62.24,0.0,62.24
2023-01-03 05:15:00,0.0,61.66,0.0,61.66
2023-01-03 05:30:00,0.0,63.88,0.0,63.88
2023-01-03 05:45:00,0.0,66.38,0.0,66.38
2023-01-03 06:00:00,0.0,69.41,0.0,69.41
2023-01-03 06:15:00,0.0,70.58,0.0,70.58
2023-01-03 06:30:00,0.0,68.53,0.0,68.53
2023-01-03 06:45:00,0.0,66.16,0.0,66.16
2023-01-03 07:00:00,0.0,69.24,0.0,69.24
2023-01-03 07:15:00,0.0,72.25,0.0,72.25
2023-01-03 07:30:00,0.0,71.22,0.0,71.22
2023-01-03 07:45:00,0.0,72.06,0.0,72.06
2023-01-03 08:00:00,0.0,79.53,0.0,79.53
2023-01-03 08:15:00,0.0,81.85,0.0,81.85
2023-01-03 08:30:00,0.0,85.59,0.0,85.59
2023-01-03 08:45:00,0.0,97.78,0.0,97.78
2023-01-03 09:00:00,99.48,0.0,0.0,99.48
2023-01-03 09:15:00,103.03,0.0,0.0,103.03
2023-01-03 09:30:00,108.19,0.0,0.0,108.19
2023-01-03 09:45:00,99.65,0.0,0.0,99.65
2023-01-03 10:00:00,102.11,0.0,0.0,102.11
2023-01-03 10:15:00,100.88,0.0,0.0,100.88
2023-01-03 10:30:00,95.4,0.0,0.0,95.4
2023-01-03 10:45:00,92.69,0.0,0.0,92.69
2023-01-03 11:00:00,87.11,0.0,0.0,87.11
2023-01-03 11:15:00,89.72,0.0,0.0,89.72
2023-01-03 11:30:00,87.51,0.0,0.0,87.51
2023-01-03 11:45:00,84.51,0.0,0.0,84.51
2023-01-03 12:00:00,83.69,0.0,0.0,83.69
2023-01-03 12:15:00,79.37,0.0,0.0,79.37
2023-01-03 12:30:00,76.35,0.0,0.0,76.35
2023-01-03 12:45:00,73.96,0.0,0.0,73.96
2023-01-03 13:00:00,70.12,0.0,0.0,70.12
2023-01-03 13:15:00,79.83,0.0,0.0,79.83
2023-01-03 13:30:00,89.93,0.0,0.0,89.93
2023-01-03 13:45:00,90.7,0.0,0.0,90.7
2023-01-03 14:00:00,92.9,0.0,0.0,92.9
2023-01-03 14:15:00,94.35,0.0,0.0,94.35
