Curve_Robinson Lifestyle Ratchaphruek_20240610174304
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW)
2023-11-05 14:30:00,4047.789,4173.309,125.52
2023-11-05 15:00:00,3943.541,4027.53,83.989
2023-11-05 15:30:00,3956.703,3995.512,38.809
2023-11-05 16:00:00,3510.673,3654.41,143.737
2023-11-05 16:30:00,4208.066,4268.949,60.883
2023-11-05 17:00:00,3981.645,3998.048,16.403
2023-11-05 17:30:00,4198.563,4203.467,4.904
2023-11-05 18:00:00,4090.862,4090.862,0
2023-11-05 18:30:00,4115.654,4115.654,0
2023-11-05 19:00:00,4033.076,4033.076,0
2023-11-05 19:30:00,3829.253,3829.253,0
2023-11-05 20:00:00,3803.968,3803.968,0
2023-11-05 20:30:00,3776.811,3776.811,0
2023-11-05 21:00:00,3605.229,3605.229,0
2023-11-05 21:30:00,3349.518,3349.518,0
2023-11-05 22:00:00,2485.815,2485.815,0
2023-11-05 22:30:00,1443.702,1443.702,0
2023-11-05 23:00:00,1337.712,1337.712,0
2023-11-05 23:30:00,1109.127,1109.127,0
2023-11-06 00:00:00,702.693,702.693,0
2023-11-06 00:30:00,660.13,660.13,0
2023-11-06 01:00:00,646.79,646.79,0
2023-11-06 01:30:00,653.905,653.905,0
2023-11-06 02:00:00,615.458,615.458,0
2023-11-06 02:30:00,527.87,527.87,0
2023-11-06 03:00:00,522.731,522.731,0
2023-11-06 03:30:00,485.258,485.258,0
2023-11-06 04:00:00,436.299,436.299,0
2023-11-06 04:30:00,430.649,430.649,0
2023-11-06 05:00:00,419.805,419.805,0
2023-11-06 05:30:00,385.406,385.406,0
2023-11-06 06:00:00,431.281,431.281,0
2023-11-06 06:30:00,454.034,467.632,13.598
2023-11-06 07:00:00,291.012,419.896,128.884
2023-11-06 07:30:00,251.258,461.665,210.407
2023-11-06 08:00:00,295.023,541.427,246.404
2023-11-06 08:30:00,33.116,675.734,642.618
2023-11-06 09:00:00,-93.31,770.24,863.55
2023-11-06 09:30:00,-161.079,872.424,1033.503
2023-11-06 10:00:00,-248.018,921.753,1169.771
2023-11-06 10:30:00,684.418,1965.792,1281.374
2023-11-06 11:00:00,2158.107,3527.217,1369.11
2023-11-06 11:30:00,2070.729,3521.007,1450.278
2023-11-06 12:00:00,2002.636,3391.93,1389.294
2023-11-06 12:30:00,2090.833,3565.249,1474.416
2023-11-06 13:00:00,2429.417,3898.627,1469.21
2023-11-06 13:30:00,2474.862,3851.153,1376.291
2023-11-06 14:00:00,2526.06,3732.262,1206.202
2023-11-06 14:30:00,2663.541,3773.206,1109.665
2023-11-06 15:00:00,2861.556,3898.522,1036.966
2023-11-06 15:30:00,3028.452,3840.503,812.051
2023-11-06 16:00:00,3645.628,3926.171,280.543
2023-11-06 16:30:00,3898.384,4077.146,178.762
2023-11-06 17:00:00,3899.158,4083.561,184.403
2023-11-06 17:30:00,3722.201,3870.068,147.867
2023-11-06 18:00:00,4186.278,4189.765,3.487
2023-11-06 18:30:00,4023.97,4023.97,0
2023-11-06 19:00:00,3625.829,3625.829,0
2023-11-06 19:30:00,3810.281,3810.281,0
2023-11-06 20:00:00,3696.745,3696.745,0
2023-11-06 20:30:00,3654.341,3654.341,0
2023-11-06 21:00:00,2932.786,2932.786,0
2023-11-06 21:30:00,2700.545,2700.545,0
2023-11-06 22:00:00,2456.445,2456.445,0
2023-11-06 22:30:00,1431.038,1431.038,0
2023-11-06 23:00:00,1189.68,1189.68,0
2023-11-06 23:30:00,1068.776,1068.776,0
2023-11-07 00:00:00,795.224,795.224,0
2023-11-07 00:30:00,592.197,592.197,0
2023-11-07 01:00:00,555.16,555.16,0
2023-11-07 01:30:00,561.85,561.85,0
2023-11-07 02:00:00,515.109,515.109,0
2023-11-07 02:30:00,535.365,535.365,0
2023-11-07 03:00:00,503.342,503.342,0
2023-11-07 03:30:00,501.389,501.389,0
2023-11-07 04:00:00,398.959,398.959,0
2023-11-07 04:30:00,423.513,423.513,0
2023-11-07 05:00:00,439.093,439.093,0
2023-11-07 05:30:00,412.404,412.404,0
2023-11-07 06:00:00,440.536,440.536,0
2023-11-07 06:30:00,460.677,479.456,18.779
2023-11-07 07:00:00,322.261,454.02,131.759
2023-11-07 07:30:00,97.372,418.008,320.636
2023-11-07 08:00:00,249.397,561.677,312.28
2023-11-07 08:30:00,-90.954,648.052,739.006
2023-11-07 09:00:00,635.559,999.865,364.306
2023-11-07 09:30:00,769.486,1584.248,814.762
2023-11-07 10:00:00,1155.095,2031.714,876.619
2023-11-07 10:30:00,1730.044,2266.535,536.491
2023-11-07 11:00:00,3115.484,3777.357,661.873
2023-11-07 11:30:00,2189.583,3605.072,1415.489
2023-11-07 12:00:00,1720.368,3342.011,1621.643
2023-11-07 12:30:00,1963.519,3450.487,1486.968
