Curve_Robinson Lifestyle Ratchaphruek_20240610174044,,,
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW)
4/5/2023 6:30,379.423,425.237,45.814
4/5/2023 7:00,338.312,465.48,127.168
4/5/2023 7:30,269.689,479.541,209.852
4/5/2023 8:00,190.366,628.106,437.74
4/5/2023 8:30,88.992,741.937,652.945
4/5/2023 9:00,804.233,1025.329,221.096
4/5/2023 9:30,2242.364,2642.475,400.111
4/5/2023 10:00,3314.7,4112.023,797.323
4/5/2023 10:30,2983.93,4098.606,1114.676
4/5/2023 11:00,2943.939,4140.323,1196.384
4/5/2023 11:30,2892.756,4159.917,1267.161
4/5/2023 12:00,2992.483,4067.307,1074.824
4/5/2023 12:30,2612.008,4000.403,1388.395
4/5/2023 13:00,2708.294,4094.997,1386.703
4/5/2023 13:30,3053.966,4233.416,1179.45
4/5/2023 14:00,2970.824,4129.286,1158.462
4/5/2023 14:30,3133.707,4193.661,1059.954
4/5/2023 15:00,3247.205,4204.919,957.714
4/5/2023 15:30,3425.984,4252.44,826.456
4/5/2023 16:00,3615.589,4273.94,658.351
4/5/2023 16:30,3849.627,4350.827,501.2
4/5/2023 17:00,3895.366,4195.163,299.797
4/5/2023 17:30,4012.366,4190.302,177.936
4/5/2023 18:00,4112.2,4149.845,37.645
4/5/2023 18:30,4142.701,4144.521,1.82
4/5/2023 19:00,4095.9,4095.9,0
4/5/2023 19:30,4114.938,4114.938,0
4/5/2023 20:00,3673.134,3673.134,0
4/5/2023 20:30,3732.906,3732.906,0
4/5/2023 21:00,3609.027,3609.027,0
4/5/2023 21:30,2102.793,2102.793,0
4/5/2023 22:00,2027.949,2027.949,0
4/5/2023 22:30,1625.993,1625.993,0
4/5/2023 23:00,1421.137,1421.137,0
4/5/2023 23:30,756.38,756.38,0
5/5/2023 0:00,790.238,790.238,0
5/5/2023 0:30,760.486,760.486,0
5/5/2023 1:00,732.973,732.973,0
5/5/2023 1:30,595.493,595.493,0
5/5/2023 2:00,545.999,545.999,0
5/5/2023 2:30,520.736,520.736,0
5/5/2023 3:00,565.471,565.471,0
5/5/2023 3:30,559.34,559.34,0
5/5/2023 4:00,446.229,446.229,0
5/5/2023 4:30,452.072,452.072,0
5/5/2023 5:00,469.556,469.556,0
5/5/2023 5:30,448.543,448.543,0
5/5/2023 6:00,473.931,473.96,0.029
5/5/2023 6:30,462.011,492.631,30.62
5/5/2023 7:00,369.958,499.294,129.336
5/5/2023 7:30,258.492,529.483,270.991
5/5/2023 8:00,207.45,642.206,434.756
5/5/2023 8:30,152.995,765.638,612.643
5/5/2023 9:00,185.571,958.096,772.525
5/5/2023 9:30,1640.92,2571.91,930.99
5/5/2023 10:00,3072.988,4112.744,1039.756
5/5/2023 10:30,2901.038,4051.625,1150.587
5/5/2023 11:00,2699.338,3918.963,1219.625
5/5/2023 11:30,2421.218,3710.606,1289.388
5/5/2023 12:00,2374.177,3690.152,1315.975
5/5/2023 12:30,2446.752,3756.508,1309.756
5/5/2023 13:00,2534.144,3823.868,1289.724
5/5/2023 13:30,2191.411,3464.79,1273.379
5/5/2023 14:00,2817.943,3694.51,876.567
5/5/2023 14:30,2604.25,3688.163,1083.913
5/5/2023 15:00,2652.726,3635.673,982.947
5/5/2023 15:30,2850.82,3669.28,818.46
5/5/2023 16:00,3084.236,3768.735,684.499
5/5/2023 16:30,3316.464,3817.532,501.068
5/5/2023 17:00,3556.534,3889.804,333.27
5/5/2023 17:30,3779.449,3958.585,179.136
5/5/2023 18:00,3994.972,4011.893,16.921
5/5/2023 18:30,4064.686,4069.082,4.396
5/5/2023 19:00,4114.455,4114.455,0
5/5/2023 19:30,4083.704,4083.704,0
5/5/2023 20:00,3980.937,3980.937,0
5/5/2023 20:30,3851.744,3851.744,0
5/5/2023 21:00,3759.623,3759.623,0
5/5/2023 21:30,2905.417,2905.417,0
5/5/2023 22:00,2612.426,2612.426,0
5/5/2023 22:30,1646.006,1646.006,0
5/5/2023 23:00,784.993,784.993,0
5/5/2023 23:30,731.861,731.861,0
6/5/2023 0:00,760.923,760.923,0
6/5/2023 0:30,634.818,634.818,0
6/5/2023 1:00,595.873,595.873,0
6/5/2023 1:30,582.051,582.051,0
6/5/2023 2:00,552.212,552.212,0
6/5/2023 2:30,544.255,544.255,0
6/5/2023 3:00,542.133,542.133,0
6/5/2023 3:30,550.748,550.748,0
6/5/2023 4:00,465.89,465.89,0
6/5/2023 4:30,467.19,467.19,0
6/5/2023 5:00,481.897,481.897,0
6/5/2023 5:30,442.923,442.923,0
6/5/2023 6:00,520.319,522.546,2.227
6/5/2023 6:30,426.045,477.731,51.686
6/5/2023 7:00,354.649,501.791,147.142
6/5/2023 7:30,228.96,508.404,279.444
6/5/2023 8:00,179.023,630.172,451.149
6/5/2023 8:30,34.573,751.048,716.475
6/5/2023 9:00,114.242,943.612,829.37
6/5/2023 9:30,1263.482,2073.413,809.931
6/5/2023 10:00,3290.363,3857.902,567.539
6/5/2023 10:30,2837.233,4113.089,1275.856
6/5/2023 11:00,3072.295,4190.377,1118.082
6/5/2023 11:30,2904.53,4147.827,1243.297
6/5/2023 12:00,3052.917,4027.855,974.938
6/5/2023 12:30,3006.125,3652.298,646.173
6/5/2023 13:00,2773.173,3630.366,857.193
6/5/2023 13:30,2516.357,3582.374,1066.017
6/5/2023 14:00,2884.547,3674.811,790.264
6/5/2023 14:30,2898.217,3737.344,839.127
6/5/2023 15:00,3075.449,3720.354,644.905
6/5/2023 15:30,3395.768,3753.968,358.2
6/5/2023 16:00,3530.745,3826.287,295.542
6/5/2023 16:30,3588.387,3886.398,298.011
6/5/2023 17:00,3764.347,3945.965,181.618
6/5/2023 17:30,3762.413,3873.835,111.422
6/5/2023 18:00,3836.862,3929.767,92.905
6/5/2023 18:30,3993.109,4005.848,12.739
6/5/2023 19:00,4059.868,4059.868,0
6/5/2023 19:30,4084.427,4084.427,0
6/5/2023 20:00,3912.662,3912.662,0
6/5/2023 20:30,3823.302,3823.302,0
6/5/2023 21:00,3758.399,3758.399,0
6/5/2023 21:30,2863.263,2863.263,0
6/5/2023 22:00,2559.413,2559.413,0
6/5/2023 22:30,1473.917,1473.917,0
6/5/2023 23:00,795.994,795.994,0
6/5/2023 23:30,731.292,731.292,0
7/5/2023 0:00,798.318,798.318,0
7/5/2023 0:30,651.875,651.875,0
7/5/2023 1:00,605.228,605.228,0
7/5/2023 1:30,594.258,594.258,0
7/5/2023 2:00,580.572,580.572,0
7/5/2023 2:30,565.937,565.937,0
7/5/2023 3:00,561.624,561.624,0
7/5/2023 3:30,569.102,569.102,0
7/5/2023 4:00,466.745,466.745,0
7/5/2023 4:30,486.654,486.654,0
7/5/2023 5:00,478.386,478.386,0
7/5/2023 5:30,456.917,456.917,0
7/5/2023 6:00,468.273,469.211,0.938
7/5/2023 6:30,397.002,438.74,41.738
7/5/2023 7:00,381.999,447.355,65.356
7/5/2023 7:30,359.175,467.264,108.089
7/5/2023 8:00,609.627,652.674,43.047
7/5/2023 8:30,532.605,721.975,189.37
7/5/2023 9:00,731.541,903.677,172.136
7/5/2023 9:30,970.594,1058.639,88.045
7/5/2023 10:00,1073.889,1166.894,93.005
7/5/2023 10:30,2509.637,2670.359,160.722
7/5/2023 11:00,3416.849,3664.83,247.981
7/5/2023 11:30,3361.427,3724.438,363.011
7/5/2023 12:00,3134.865,3613.6,478.735
7/5/2023 12:30,2910.2,3540.958,630.758
7/5/2023 13:00,2389.46,3452.875,1063.415
7/5/2023 13:30,3315.659,3682.638,366.979
7/5/2023 14:00,3179.779,3534.675,354.896
7/5/2023 14:30,3169.481,3536.063,366.582
7/5/2023 15:00,3313.128,3552.129,239.001
7/5/2023 15:30,3339.487,3518.822,179.335
7/5/2023 16:00,3360.491,3516.692,156.201
7/5/2023 16:30,3331.04,3425.601,94.561
7/5/2023 17:00,3370.994,3430.395,59.401
7/5/2023 17:30,3407.217,3455.497,48.28
7/5/2023 18:00,3449.838,3481.889,32.051
7/5/2023 18:30,3571.728,3572.714,0.986
7/5/2023 19:00,3644.492,3644.492,0
7/5/2023 19:30,3591.842,3591.842,0
7/5/2023 20:00,3493.612,3493.612,0
7/5/2023 20:30,3444.354,3444.354,0
7/5/2023 21:00,3309.134,3309.134,0
7/5/2023 21:30,2827.588,2827.588,0
7/5/2023 22:00,2543.763,2543.763,0
7/5/2023 22:30,893.953,893.953,0
7/5/2023 23:00,803.987,803.987,0
7/5/2023 23:30,750.874,750.874,0
8/5/2023 0:00,1068.118,1068.118,0
8/5/2023 0:30,566.603,566.603,0
8/5/2023 1:00,547.243,547.243,0
8/5/2023 1:30,554.307,554.307,0
8/5/2023 2:00,533.433,533.433,0
8/5/2023 2:30,530.227,530.227,0
8/5/2023 3:00,490.524,490.524,0
8/5/2023 3:30,501.488,501.488,0
8/5/2023 4:00,439.746,439.746,0
8/5/2023 4:30,437.588,437.588,0
8/5/2023 5:00,435.625,435.625,0
8/5/2023 5:30,419.908,419.908,0
8/5/2023 6:00,435.867,436.071,0.204
8/5/2023 6:30,385.888,416.879,30.991
8/5/2023 7:00,336.186,414.494,78.308
8/5/2023 7:30,284.641,411.018,126.377
8/5/2023 8:00,343.722,544.658,200.936
8/5/2023 8:30,401.628,675.879,274.251
8/5/2023 9:00,444.524,792.947,348.423
8/5/2023 9:30,562.436,999.303,436.867
8/5/2023 10:00,705.626,1316.046,610.42
8/5/2023 10:30,306.188,1806.745,1500.557
8/5/2023 11:00,2582.424,3246.709,664.285
8/5/2023 11:30,2295.28,3315.226,1019.946
8/5/2023 12:00,1572.249,3130.563,1558.314
8/5/2023 12:30,1957.208,3305.071,1347.863
8/5/2023 13:00,2274.189,3512.981,1238.792
8/5/2023 13:30,2241.126,3505.484,1264.358
8/5/2023 14:00,2217.646,3446.611,1228.965
8/5/2023 14:30,2383.684,3523.952,1140.268
8/5/2023 15:00,2642.022,3586.279,944.257
8/5/2023 15:30,2638.317,3497.369,859.052
8/5/2023 16:00,3134.678,3678.312,543.634
8/5/2023 16:30,3508.68,3758.4,249.72
8/5/2023 17:00,3230.498,3605.928,375.43
8/5/2023 17:30,3592.389,3714.663,122.274
8/5/2023 18:00,3695.388,3768.336,72.948
8/5/2023 18:30,3848.107,3858.733,10.626
8/5/2023 19:00,3951.986,3951.986,0
8/5/2023 19:30,4056.111,4056.111,0
8/5/2023 20:00,3791.695,3791.695,0
8/5/2023 20:30,3582.559,3582.559,0
8/5/2023 21:00,3449.017,3449.017,0
8/5/2023 21:30,2799.44,2799.44,0
8/5/2023 22:00,2428.81,2428.81,0
8/5/2023 22:30,1221.435,1221.435,0
8/5/2023 23:00,728.171,728.171,0
8/5/2023 23:30,838.285,838.285,0
9/5/2023 0:00,721.314,721.314,0
9/5/2023 0:30,554.967,554.967,0
9/5/2023 1:00,536.171,536.171,0
9/5/2023 1:30,539.408,539.408,0
9/5/2023 2:00,494.678,494.678,0
9/5/2023 2:30,500.748,500.748,0
9/5/2023 3:00,474.838,474.838,0
9/5/2023 3:30,504.858,504.858,0
9/5/2023 4:00,431.883,431.883,0
9/5/2023 4:30,420.997,420.997,0
9/5/2023 5:00,440.194,440.194,0
9/5/2023 5:30,419.74,419.74,0
9/5/2023 6:00,467.775,470.247,2.472
9/5/2023 6:30,415.078,466.283,51.205
9/5/2023 7:00,291.603,444.996,153.393
9/5/2023 7:30,225.483,458.931,233.448
9/5/2023 8:00,21.458,430.688,409.23
9/5/2023 8:30,406.429,767.934,361.505
9/5/2023 9:00,677.339,1011.432,334.093
9/5/2023 9:30,476.227,1069.714,593.487
9/5/2023 10:00,610.214,1370.188,759.974
9/5/2023 10:30,1665.892,2766.595,1100.703
9/5/2023 11:00,2784.239,4123.029,1338.79
9/5/2023 11:30,2792.518,4220.379,1427.861
9/5/2023 12:00,2475.755,3979.262,1503.507
9/5/2023 12:30,3752.851,4308.404,555.553
9/5/2023 13:00,4155.286,4343.156,187.87
9/5/2023 13:30,4135.76,4164.668,28.908
9/5/2023 14:00,3790.792,3840.21,49.418
9/5/2023 14:30,3642.328,3744.139,101.811
9/5/2023 15:00,3551.074,3754.994,203.92
9/5/2023 15:30,3338.824,3793.031,454.207
9/5/2023 16:00,3198.822,3665.625,466.803
9/5/2023 16:30,3281.357,3744.338,462.981
9/5/2023 17:00,3145.356,3497.599,352.243
9/5/2023 17:30,3479.063,3706.469,227.406
9/5/2023 18:00,3582.492,3709.68,127.188
9/5/2023 18:30,3760.611,3779.345,18.734
9/5/2023 19:00,3821.634,3821.634,0
9/5/2023 19:30,3847.595,3847.595,0
9/5/2023 20:00,3785.447,3785.447,0
9/5/2023 20:30,3752.069,3752.069,0
9/5/2023 21:00,3510.322,3510.322,0
9/5/2023 21:30,2600.565,2600.565,0
9/5/2023 22:00,2497.332,2497.332,0
9/5/2023 22:30,856.628,856.628,0
9/5/2023 23:00,771.059,771.059,0
9/5/2023 23:30,686.975,686.975,0
